113	청음회관	0113.placeholder
114	차	0114.placeholder
115	서울역	0115.placeholder
116	손바닥찍다	0116.placeholder
117	서울농아인협회	0117.placeholder
118	서대문농아인복지관	0118.placeholder
119	맥도날드	0119.placeholder
120	이화여대	0120.placeholder
121	터널	0121.placeholder
122	군청	0122.placeholder
123	대로	0123.placeholder
124	육교	0124.placeholder
125	편지	0125.placeholder
126	급하다	0126.placeholder
127	곳곳	0127.placeholder
128	가방	0128.placeholder
129	아이	0129.placeholder
130	쓰러지다	0130.placeholder
131	파리바게트	0131.placeholder
132	알다	0132.placeholder
133	끄다	0133.placeholder
134	고속터미널	0134.placeholder
135	스타벅스	0135.placeholder
136	이마트	0136.placeholder
137	어렵다	0137.placeholder
138	좋다	0138.placeholder
139	모르다	0139.placeholder
140	난방	0140.placeholder
141	강요	0141.placeholder
142	안	0142.placeholder
143	지갑	0143.placeholder
144	아파트	0144.placeholder
145	따뜻하다	0145.placeholder
146	열쇠	0146.placeholder
147	우산	0147.placeholder
148	3	0148.placeholder
149	사진기	0149.placeholder
150	회복	0150.placeholder
151	음주운전	0151.placeholder
152	퇴사	0152.placeholder
153	일시불	0153.placeholder
154	연구	0154.placeholder
155	불경	0155.placeholder
156	일요일	0156.placeholder
157	장마	0157.placeholder
158	체온	0158.placeholder
159	하늘	0159.placeholder
160	공범	0160.placeholder
161	뽐내다	0161.placeholder
162	적격	0162.placeholder
163	더디다	0163.placeholder
164	배고프다	0164.placeholder
165	대박	0165.placeholder
166	난감하다	0166.placeholder
167	동상이몽	0167.placeholder
168	팔	0168.placeholder
169	똑똑하다	0169.placeholder
170	이천	0170.placeholder
171	뛰어나다	0171.placeholder
172	상상	0172.placeholder
173	위인	0173.placeholder
174	의혹	0174.placeholder
175	탕진	0175.placeholder
176	인색하다	0176.placeholder
177	표리부동	0177.placeholder
178	대물림	0178.placeholder
179	재량	0179.placeholder
180	끊다	0180.placeholder
181	기피하다	0181.placeholder
182	유치하다	0182.placeholder
183	양자택일	0183.placeholder
184	험담	0184.placeholder
185	달변	0185.placeholder
186	솔직히	0186.placeholder
187	겸임	0187.placeholder
188	해하다	0188.placeholder
189	대들다	0189.placeholder
190	무시하다	0190.placeholder
191	형편없다	0191.placeholder
192	경남농아인협회	0192.placeholder
193	찔리다	0193.placeholder
194	알아차리다	0194.placeholder
195	뜻밖	0195.placeholder
196	일출	0196.placeholder
197	일몰	0197.placeholder
198	제발	0198.placeholder
199	보이다	0199.placeholder
200	십	0200.placeholder
201	십억	0201.placeholder
202	눈	0202.placeholder
203	안타깝다	0203.placeholder
204	검사	0204.placeholder
205	공식	0205.placeholder
206	평가	0206.placeholder
207	복습	0207.placeholder
208	감옥	0208.placeholder
209	갈색	0209.placeholder
210	직인	0210.placeholder
211	독특	0211.placeholder
212	맹세	0212.placeholder
213	황소고집	0213.placeholder
214	당황	0214.placeholder
215	예민	0215.placeholder
216	아기	0216.placeholder
217	우습다	0217.placeholder
218	못하다	0218.placeholder
219	귀엽다	0219.placeholder
220	불신	0220.placeholder
221	중독	0221.placeholder
222	사별	0222.placeholder
223	구조	0223.placeholder
224	비상식적	0224.placeholder
225	들키다	0225.placeholder
226	1호	0226.placeholder
227	있다	0227.placeholder
228	알려주다	0228.placeholder
229	괜찮다	0229.placeholder
230	영수증	0230.placeholder
231	유턴	0231.placeholder
232	알아서	0232.placeholder
233	결승전	0233.placeholder
234	견습	0234.placeholder
235	신기	0235.placeholder
236	고난이도	0236.placeholder
237	무덤덤	0237.placeholder
238	의미	0238.placeholder
239	밀거래	0239.placeholder
240	세뇌	0240.placeholder
241	무식	0241.placeholder
242	우유	0242.placeholder
243	중구지부	0243.placeholder
244	중구주민지원센터	0244.placeholder
245	서구지부	0245.placeholder
246	서구주민지원센터	0246.placeholder
247	남자	0247.placeholder
248	달래다	0248.placeholder
249	집중	0249.placeholder
250	서다	0250.placeholder
251	전문	0251.placeholder
252	일어나다	0252.placeholder
253	여자	0253.placeholder
254	싫다	0254.placeholder
255	귀찮다	0255.placeholder
256	남녀	0256.placeholder
257	잠실	0257.placeholder
258	담당	0258.placeholder
259	중구수어통역센터	0259.placeholder
260	서구수어통역센터	0260.placeholder
261	살인	0261.placeholder
262	떨다	0262.placeholder
263	몸	0263.placeholder
264	얼마	0264.placeholder
265	지금	NIA_SL_WORD1501_REAL01_D.mp4
266	가깝다	0266.placeholder
267	엉덩이	0267.placeholder
268	춥다	0268.placeholder
269	의자	0269.placeholder
270	핸드폰	0270.placeholder
271	접근	0271.placeholder
272	받다	0272.placeholder
273	엘리베이터	0273.placeholder
274	나	0274.placeholder
275	트렁크열다	0275.placeholder
276	뒤	0276.placeholder
277	유리	0277.placeholder
278	포천	0278.placeholder
279	잘못하다	0279.placeholder
280	틀리다	0280.placeholder
281	다시	0281.placeholder
282	번호	0282.placeholder
283	왼쪽	0283.placeholder
284	오른쪽	0284.placeholder
285	당신	0285.placeholder
286	사람	0286.placeholder
287	물건	0287.placeholder
288	힘들다	0288.placeholder
289	막차	0289.placeholder
290	아프다	0290.placeholder
291	천호	0291.placeholder
292	냄새	0292.placeholder
293	올리다	0293.placeholder
294	응급실	0294.placeholder
295	공기청정기	0295.placeholder
296	차밀리다	0296.placeholder
297	화나다	0297.placeholder
298	위아래	0298.placeholder
299	약	0299.placeholder
300	계단	0300.placeholder
